»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.51.0
»»»  Vision Version:	5.51.3 (R)
»»»  Vision Compiled:	8/27/25
»»»  Driver Version:	5.51.0
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF20724-485 (500V)
»»»  Tester S/N:	PMF20724-485
»»»  Internal Amp Type:	500V Rev D Slow
»»»  Internal Amp S/N:	  iAB5-000/D   
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	3/12/2026 - 12:41:42
Configured:	03/09/26 06:20:57 PM
Executed:	03/12/26 12:40:54 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.14e-06
Sample Thickness (microns):	8.00e-02

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF20724-485 (500V)
Tester Serial Number:	PMF20724-485
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	0.75
Field:	93.75 (kV/cm)
DCBias:	0.25
DCField:	31.25 (kV/cm)
Hysteresis Period (ms):	2.00e-01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
  73	3.6000e-02	0.6673	8.593287	0.000099	31.412648	2.838105	-0.002949
  74	3.6500e-02	0.6532	8.764819	-0.000036	-11.480765	-1.037277	0.001078
  75	3.7000e-02	0.6420	8.557551	0.000044	13.872591	1.253376	-0.001302
  76	3.7500e-02	0.6223	8.369342	0.000040	12.596950	1.138123	-0.001183
  77	3.8000e-02	0.6065	8.202575	0.000035	11.161855	1.008464	-0.001048
  78	3.8500e-02	0.5930	7.942894	0.000055	17.380602	1.570322	-0.001632
  79	3.9000e-02	0.5796	7.816627	0.000027	8.451118	0.763551	-0.000793
  80	3.9500e-02	0.5617	7.648668	0.000035	11.241582	1.015667	-0.001055
  81	4.0000e-02	0.5471	7.373502	0.000058	18.417060	1.663965	-0.001729
  82	4.0500e-02	0.5306	7.173381	0.000042	13.394226	1.210156	-0.001257
  83	4.1000e-02	0.5162	6.920848	0.000053	16.902237	1.527102	-0.001587
  84	4.1500e-02	0.5013	6.765992	0.000033	10.364579	0.936431	-0.000973
  85	4.2000e-02	0.4851	6.499164	0.000056	17.858967	1.613542	-0.001676
  86	4.2500e-02	0.4740	6.282367	0.000046	14.510411	1.311003	-0.001362
  87	4.3000e-02	0.4630	6.008392	0.000058	18.337333	1.656762	-0.001721
  88	4.3500e-02	0.4459	5.807080	0.000042	13.473953	1.217360	-0.001265
  89	4.4000e-02	0.4301	5.477118	0.000069	22.084527	1.995317	-0.002073
  90	4.4500e-02	0.4124	5.094745	0.000080	25.592538	2.312263	-0.002402
  91	4.5000e-02	0.3983	4.918448	0.000037	11.799675	1.066090	-0.001108
  92	4.5500e-02	0.3813	4.600398	0.000067	21.287251	1.923284	-0.001998
  93	4.6000e-02	0.3693	4.197774	0.000085	26.947906	2.434719	-0.002530
  94	4.6500e-02	0.3528	3.958344	0.000050	16.025234	1.447866	-0.001504
  95	4.7000e-02	0.3374	3.587882	0.000078	24.795263	2.240230	-0.002328
  96	4.7500e-02	0.3259	3.292465	0.000062	19.772428	1.786421	-0.001856
  97	4.8000e-02	0.3059	2.888650	0.000085	27.027634	2.441923	-0.002537
  98	4.8500e-02	0.2912	2.520570	0.000077	24.635808	2.225823	-0.002313
  99	4.9000e-02	0.2782	2.113181	0.000086	27.266816	2.463533	-0.002560
 100	4.9500e-02	0.2683	1.757014	0.000075	23.838532	2.153790	-0.002238
 101	5.0000e-02	0.2480	1.329375	0.000090	28.622184	2.585989	-0.002687
 102	5.0500e-02	0.2335	0.937471	0.000082	26.230358	2.369890	-0.002462
 103	5.1000e-02	0.2206	0.533656	0.000085	27.027634	2.441923	-0.002537
 104	5.1500e-02	0.2054	-0.154855	0.000145	46.082514	4.163514	-0.004326
 105	5.2000e-02	0.1897	-0.258489	0.000022	6.936295	0.626688	-0.000651
 106	5.2500e-02	0.1739	-0.869573	0.000128	40.900224	3.695299	-0.003839
 107	5.3000e-02	0.1586	-1.228123	0.000075	23.997987	2.168197	-0.002253
 108	5.3500e-02	0.1448	-1.559275	0.000070	22.164254	2.002521	-0.002081
 109	5.4000e-02	0.1279	-2.147726	0.000124	39.385401	3.558436	-0.003697
 110	5.4500e-02	0.1147	-2.482452	0.000070	22.403437	2.024131	-0.002103
 111	5.5000e-02	0.0982	-2.998240	0.000108	34.522022	3.119034	-0.003241
 112	5.5500e-02	0.0848	-3.415158	0.000088	27.904637	2.521159	-0.002619
 113	5.6000e-02	0.0691	-3.853519	0.000092	29.339732	2.650819	-0.002754
 114	5.6500e-02	0.0546	-4.307364	0.000095	30.376190	2.744462	-0.002852
 115	5.7000e-02	0.0386	-4.614693	0.000065	20.569703	1.858454	-0.001931
 116	5.7500e-02	0.0281	-5.074494	0.000097	30.774828	2.780478	-0.002889
 117	5.8000e-02	0.0098	-5.285336	0.000044	14.111773	1.274986	-0.001325
 118	5.8500e-02	-0.0050	-5.876169	0.000124	39.544856	3.572843	-0.003712
 119	5.9000e-02	-0.0211	-5.965509	0.000019	5.979565	0.540248	-0.000561
 120	5.9500e-02	-0.0377	-6.352647	0.000081	25.911448	2.341076	-0.002432
 121	6.0000e-02	-0.0517	-6.590887	0.000050	15.945507	1.440662	-0.001497
 122	6.0500e-02	-0.0652	-6.957775	0.000077	24.556080	2.218620	-0.002305
 123	6.1000e-02	-0.0819	-7.099527	0.000030	9.487576	0.857194	-0.000891
 124	6.1500e-02	-0.0940	-7.272251	0.000036	11.560492	1.044480	-0.001085
 125	6.2000e-02	-0.1105	-7.521211	0.000052	16.663054	1.505492	-0.001564
 126	6.2500e-02	-0.1282	-7.814245	0.000062	19.612973	1.772015	-0.001841
 127	6.3000e-02	-0.1424	-7.934555	0.000025	8.052481	0.727534	-0.000756
 128	6.3500e-02	-0.1545	-8.227590	0.000062	19.612973	1.772015	-0.001841
 129	6.4000e-02	-0.1688	-8.403887	0.000037	11.799675	1.066090	-0.001108
 130	6.4500e-02	-0.1862	-8.559933	0.000033	10.444307	0.943634	-0.000980
 131	6.5000e-02	-0.2009	-8.749333	0.000040	12.676678	1.145327	-0.001190
 132	6.5500e-02	-0.2172	-8.769584	0.000004	1.355368	0.122456	-0.000127
 133	6.6000e-02	-0.2329	-9.075721	0.000064	20.489976	1.851251	-0.001923
 134	6.6500e-02	-0.2465	-9.323490	0.000052	16.583327	1.498289	-0.001557
 135	6.7000e-02	-0.2615	-9.487875	0.000035	11.002400	0.994057	-0.001033
 136	6.7500e-02	-0.2780	-9.653451	0.000035	11.082127	1.001260	-0.001040
 137	6.8000e-02	-0.2919	-9.852381	0.000042	13.314498	1.202953	-0.001250
 138	6.8500e-02	-0.3066	-10.026295	0.000037	11.640220	1.051684	-0.001093
 139	6.9000e-02	-0.3193	-10.102532	0.000016	5.102562	0.461012	-0.000479
 140	6.9500e-02	-0.3333	-10.384845	0.000059	18.895425	1.707185	-0.001774
 141	7.0000e-02	-0.3508	-10.380081	-0.000001	-0.318910	-0.028813	0.000030
 142	7.0500e-02	-0.3643	-10.649291	0.000057	18.018422	1.627948	-0.001691
 143	7.1000e-02	-0.3820	-10.721954	0.000015	4.863380	0.439402	-0.000457
 144	7.1500e-02	-0.3967	-10.887530	0.000035	11.082127	1.001260	-0.001040
 145	7.2000e-02	-0.4120	-11.024517	0.000029	9.168666	0.828381	-0.000861
 146	7.2500e-02	-0.4293	-11.229403	0.000043	13.713136	1.238970	-0.001287
 147	7.3000e-02	-0.4431	-11.385450	0.000033	10.444307	0.943634	-0.000980
 148	7.3500e-02	-0.4567	-11.473598	0.000019	5.899837	0.533045	-0.000554
 149	7.4000e-02	-0.4671	-11.637983	0.000035	11.002400	0.994057	-0.001033
 150	7.4500e-02	-0.4861	-11.738044	0.000021	6.697113	0.605078	-0.000629
 151	7.5000e-02	-0.5019	-11.940547	0.000043	13.553681	1.224563	-0.001272
 152	7.5500e-02	-0.4861	-11.861928	0.000017	5.262017	0.475419	0.000494
 153	7.6000e-02	-0.4733	-11.556982	0.000064	20.410248	1.844048	0.001916
 154	7.6500e-02	-0.4612	-11.630836	-0.000016	-4.943107	-0.446605	-0.000464
 155	7.7000e-02	-0.4430	-11.425950	0.000043	13.713136	1.238970	0.001287
 156	7.7500e-02	-0.4288	-11.377111	0.000010	3.268829	0.295336	0.000307
 157	7.8000e-02	-0.4108	-11.244889	0.000028	8.849756	0.799568	0.000831
 158	7.8500e-02	-0.3995	-11.113857	0.000028	8.770029	0.792364	0.000823
 159	7.9000e-02	-0.3819	-10.961384	0.000032	10.205124	0.922024	0.000958
 160	7.9500e-02	-0.3676	-10.843456	0.000025	7.893026	0.713128	0.000741
 161	8.0000e-02	-0.3524	-10.760072	0.000018	5.580927	0.504232	0.000524
 162	8.0500e-02	-0.3381	-10.478950	0.000059	18.815698	1.699982	0.001766
 163	8.1000e-02	-0.3225	-10.436067	0.000009	2.870191	0.259319	0.000269
 164	8.1500e-02	-0.3107	-10.270491	0.000035	11.082127	1.001260	0.001040
 165	8.2000e-02	-0.2929	-10.221651	0.000010	3.268829	0.295336	0.000307
 166	8.2500e-02	-0.2798	-10.038207	0.000039	12.278040	1.109310	0.001153
 167	8.3000e-02	-0.2631	-9.759467	0.000059	18.656243	1.685575	0.001751
 168	8.3500e-02	-0.2473	-9.778527	-0.000004	-1.275641	-0.115253	-0.000120
 169	8.4000e-02	-0.2348	-9.535523	0.000051	16.264417	1.469476	0.001527
 170	8.4500e-02	-0.2193	-9.425933	0.000023	7.334933	0.662705	0.000689
 171	8.5000e-02	-0.2044	-9.275842	0.000032	10.045669	0.907617	0.000943
 172	8.5500e-02	-0.1860	-9.045941	0.000048	15.387414	1.390239	0.001444
 173	8.6000e-02	-0.1716	-8.922057	0.000026	8.291663	0.749144	0.000778
 174	8.6500e-02	-0.1587	-8.701686	0.000046	14.749594	1.332613	0.001385
 175	8.7000e-02	-0.1418	-8.545639	0.000033	10.444307	0.943634	0.000980
 176	8.7500e-02	-0.1292	-8.320503	0.000047	15.068504	1.361426	0.001415
 177	8.8000e-02	-0.1130	-8.188280	0.000028	8.849756	0.799568	0.000831
 178	8.8500e-02	-0.0991	-7.966718	0.000047	14.829321	1.339816	0.001392
 179	8.9000e-02	-0.0844	-7.809480	0.000033	10.524034	0.950837	0.000988
 180	8.9500e-02	-0.0649	-7.531931	0.000058	18.576515	1.678372	0.001744
 181	9.0000e-02	-0.0532	-7.485475	0.000010	3.109374	0.280929	0.000292
 182	9.0500e-02	-0.0413	-7.224603	0.000055	17.460330	1.577525	0.001639
 183	9.1000e-02	-0.0248	-6.914892	0.000065	20.729159	1.872861	0.001946
 184	9.1500e-02	-0.0097	-6.595651	0.000067	21.366979	1.930488	0.002006
 185	9.2000e-02	0.0097	-6.403869	0.000040	12.836133	1.159733	0.001205
 186	9.2500e-02	0.0185	-6.123938	0.000059	18.735970	1.692778	0.001759
 187	9.3000e-02	0.0370	-5.857110	0.000056	17.858967	1.613542	0.001676
 188	9.3500e-02	0.0481	-5.522384	0.000070	22.403437	2.024131	0.002103
 189	9.4000e-02	0.0668	-5.271042	0.000053	16.822509	1.519899	0.001579
 190	9.4500e-02	0.0784	-4.893433	0.000079	25.273628	2.283450	0.002373
 191	9.5000e-02	0.0929	-4.842211	0.000011	3.428284	0.309742	0.000322
 192	9.5500e-02	0.1119	-4.288305	0.000116	37.073303	3.349540	0.003480
 193	9.6000e-02	0.1244	-3.679604	0.000128	40.740769	3.680892	0.003824
 194	9.6500e-02	0.1428	-3.479483	0.000042	13.394226	1.210156	0.001257
 195	9.7000e-02	0.1531	-2.892223	0.000123	39.305674	3.551233	0.003690
 196	9.7500e-02	0.1740	-2.612292	0.000059	18.735970	1.692778	0.001759
 197	9.8000e-02	0.1858	-2.158447	0.000095	30.376190	2.744462	0.002852
 198	9.8500e-02	0.2016	-1.614070	0.000114	36.435483	3.291914	0.003420
 199	9.9000e-02	0.2159	-1.240035	0.000079	25.034445	2.261840	0.002350
 200	9.9500e-02	0.2310	-0.668261	0.000120	38.269216	3.457590	0.003592
 201	1.0000e-01	0.2461	-0.329961	0.000071	22.642619	2.045741	0.002126
 202	1.0050e-01	0.2607	0.147708	0.000100	31.970741	2.888528	0.003001
 203	1.0100e-01	0.2753	0.532465	0.000081	25.751993	2.326670	0.002417
 204	1.0150e-01	0.2923	0.963677	0.000091	28.861367	2.607599	0.002709
 205	1.0200e-01	0.3038	1.375831	0.000087	27.585726	2.492346	0.002590
 206	1.0250e-01	0.3200	1.611688	0.000050	15.786052	1.426256	0.001482
 207	1.0300e-01	0.3371	2.337126	0.000153	48.554068	4.386817	0.004558
 208	1.0350e-01	0.3510	2.444334	0.000023	7.175478	0.648298	0.000674
 209	1.0400e-01	0.3659	3.003005	0.000117	37.392213	3.378353	0.003510
 210	1.0450e-01	0.3806	3.337731	0.000070	22.403437	2.024131	0.002103
 211	1.0500e-01	0.3986	3.745120	0.000086	27.266816	2.463533	0.002560
 212	1.0550e-01	0.4111	4.125111	0.000080	25.433083	2.297856	0.002387
 213	1.0600e-01	0.4243	4.304982	0.000038	12.038857	1.087700	0.001130
 214	1.0650e-01	0.4411	4.729047	0.000089	28.383002	2.564379	0.002664
 215	1.0700e-01	0.4585	4.987537	0.000054	17.300875	1.563119	0.001624
 216	1.0750e-01	0.4713	5.236497	0.000052	16.663054	1.505492	0.001564
 217	1.0800e-01	0.4848	5.591473	0.000075	23.758805	2.146587	0.002230
 218	1.0850e-01	0.4995	5.859492	0.000056	17.938695	1.620745	0.001684
 219	1.0900e-01	0.5140	6.188262	0.000069	22.004799	1.988114	0.002066
 220	1.0950e-01	0.5276	6.386001	0.000042	13.234770	1.195750	0.001242
 221	1.1000e-01	0.5439	6.886303	0.000105	33.485564	3.025391	0.003143
 222	1.1050e-01	0.5600	6.795772	-0.000019	-6.059292	-0.547452	-0.000569
 223	1.1100e-01	0.5778	7.180529	0.000081	25.751993	2.326670	0.002417
 224	1.1150e-01	0.5932	7.361590	0.000038	12.118585	1.094903	0.001138
 225	1.1200e-01	0.6065	7.515255	0.000032	10.284852	0.929227	0.000965
 226	1.1250e-01	0.6233	7.902393	0.000081	25.911448	2.341076	0.002432
 227	1.1300e-01	0.6324	7.992924	0.000019	6.059292	0.547452	0.000569
 228	1.1350e-01	0.6495	8.239502	0.000052	16.503599	1.491086	0.001549
 229	1.1400e-01	0.6657	8.427711	0.000040	12.596950	1.138123	0.001183
 230	1.1450e-01	0.6800	8.564698	0.000029	9.168666	0.828381	0.000861
 231	1.1500e-01	0.6946	8.837482	0.000057	18.257605	1.649558	0.001714
 232	1.1550e-01	0.7105	8.973278	0.000029	9.088939	0.821178	0.000853
 233	1.1600e-01	0.7238	9.169826	0.000041	13.155043	1.188546	0.001235
 234	1.1650e-01	0.7406	9.346123	0.000037	11.799675	1.066090	0.001108
 235	1.1700e-01	0.7551	9.555773	0.000044	14.032046	1.267783	0.001317
 236	1.1750e-01	0.7728	9.634392	0.000017	5.262017	0.475419	0.000494
 237	1.1800e-01	0.7883	9.808307	0.000037	11.640220	1.051684	0.001093
 238	1.1850e-01	0.8009	10.016766	0.000044	13.952318	1.260580	0.001310
 239	1.1900e-01	0.8155	10.100150	0.000018	5.580927	0.504232	0.000524
 240	1.1950e-01	0.8275	10.431302	0.000070	22.164254	2.002521	0.002081
 241	1.2000e-01	0.8449	10.419390	-0.000003	-0.797275	-0.072033	-0.000075
 242	1.2050e-01	0.8636	10.494435	0.000016	5.022835	0.453809	0.000472
 243	1.2100e-01	0.8746	10.766028	0.000057	18.177877	1.642355	0.001706
 244	1.2150e-01	0.8977	10.813676	0.000010	3.189101	0.288132	0.000299
 245	1.2200e-01	0.9035	11.051915	0.000050	15.945507	1.440662	0.001497
 246	1.2250e-01	0.9203	11.095989	0.000009	2.949919	0.266523	0.000277
 247	1.2300e-01	0.9335	11.284198	0.000040	12.596950	1.138123	0.001183
 248	1.2350e-01	0.9493	11.403318	0.000025	7.972753	0.720331	0.000748
 249	1.2400e-01	0.9657	11.539114	0.000029	9.088939	0.821178	0.000853
 250	1.2450e-01	0.9797	11.673719	0.000028	9.009211	0.813974	0.000846
 251	1.2500e-01	0.9945	11.836913	0.000034	10.922672	0.986854	0.001025
 252	1.2550e-01	0.9838	11.759485	0.000016	5.182290	0.468215	-0.000486
 253	1.2600e-01	0.9666	11.601056	0.000033	10.603762	0.958040	-0.000995
 254	1.2650e-01	0.9527	11.493849	0.000023	7.175478	0.648298	-0.000674
 255	1.2700e-01	0.9379	11.385450	0.000023	7.255205	0.655501	-0.000681
 256	1.2750e-01	0.9196	11.186520	0.000042	13.314498	1.202953	-0.001250
 257	1.2800e-01	0.9066	11.252036	-0.000014	-4.385014	-0.396182	0.000412
 258	1.2850e-01	0.8936	10.970914	0.000059	18.815698	1.699982	-0.001766
 259	1.2900e-01	0.8770	10.973296	-0.000001	-0.159455	-0.014407	0.000015
 260	1.2950e-01	0.8603	10.813676	0.000034	10.683489	0.965244	-0.001003
 261	1.3000e-01	0.8526	10.689791	0.000026	8.291663	0.749144	-0.000778
 262	1.3050e-01	0.8310	10.506347	0.000039	12.278040	1.109310	-0.001153
 263	1.3100e-01	0.8164	10.389610	0.000025	7.813298	0.705925	-0.000733
 264	1.3150e-01	0.8010	10.258579	0.000028	8.770029	0.792364	-0.000823
 265	1.3200e-01	0.7903	10.147797	0.000023	7.414661	0.669908	-0.000696
 266	1.3250e-01	0.7715	10.091811	0.000012	3.747194	0.338556	-0.000352
 267	1.3300e-01	0.7576	9.788056	0.000064	20.330521	1.836845	-0.001908
 268	1.3350e-01	0.7421	9.723732	0.000014	4.305287	0.388979	-0.000404
 269	1.3400e-01	0.7287	9.534331	0.000040	12.676678	1.145327	-0.001190
 270	1.3450e-01	0.7108	9.440227	0.000020	6.298475	0.569062	-0.000591
 271	1.3500e-01	0.6956	9.358034	0.000017	5.501200	0.497029	-0.000516
 272	1.3550e-01	0.6835	9.043559	0.000066	21.048069	1.901674	-0.001976
 273	1.3600e-01	0.6659	8.947072	0.000020	6.457930	0.583468	-0.000606
 274	1.3650e-01	0.6495	8.729083	0.000046	14.590139	1.318206	-0.001370
 275	1.3700e-01	0.6390	8.550404	0.000038	11.959130	1.080497	-0.001123
 276	1.3750e-01	0.6216	8.377680	0.000036	11.560492	1.044480	-0.001085
 277	1.3800e-01	0.6062	8.238310	0.000029	9.328121	0.842787	-0.000876
 278	1.3850e-01	0.5940	8.008410	0.000048	15.387414	1.390239	-0.001444
 279	1.3900e-01	0.5775	7.793994	0.000045	14.350956	1.296596	-0.001347
 280	1.3950e-01	0.5631	7.541461	0.000053	16.902237	1.527102	-0.001587
 281	1.4000e-01	0.5495	7.317516	0.000047	14.988776	1.354223	-0.001407
 282	1.4050e-01	0.5315	7.203161	0.000024	7.653843	0.691518	-0.000718
