!Agilent Technologies,E4990A,MY54100995,A.02.20
!Date: Thu Mar 12 12:33:36 2026

BEGIN CH1_DATA
DCV(V), +9.994e-001, DCI(A), +2.454e-006
-4.14141414141e-001, +1.22481923833e-011, +9.83211572695e-002, +1.29318018270e+006, -8.43846608288e+001
-3.93939393939e-001, +1.26938922440e-011, +1.03248574596e-001, +1.24716159263e+006, -8.41051800062e+001
-3.73737373737e-001, +1.31596673355e-011, +1.15401176124e-001, +1.20144104297e+006, -8.34171189529e+001
-3.53535353535e-001, +1.36919670434e-011, +1.13922664290e-001, +1.15492611000e+006, -8.35007321342e+001
-3.33333333333e-001, +1.42641837566e-011, +1.28825727544e-001, +1.10662122028e+006, -8.26592604818e+001
-3.13131313131e-001, +1.50041039786e-011, +1.22764131843e-001, +1.05283872222e+006, -8.30011531174e+001
-2.92929292929e-001, +1.56786908256e-011, +1.37297854426e-001, +1.00566899563e+006, -8.21822909774e+001
-2.72727272727e-001, +1.64248712522e-011, +1.42360504676e-001, +9.59315234349e+005, -8.18977857490e+001
-2.52525252525e-001, +1.73822085430e-011, +1.53918915044e-001, +9.04962797858e+005, -8.12497652634e+001
-2.32323232323e-001, +1.83333184879e-011, +1.57795369673e-001, +8.57508499916e+005, -8.10329283034e+001
-2.12121212121e-001, +1.91009004525e-011, +1.68893285012e-001, +8.21597060070e+005, -8.04135949508e+001
-1.91919191919e-001, +2.00248338259e-011, +1.66638623706e-001, +7.83977455364e+005, -8.05392411169e+001
-1.71717171717e-001, +2.09997289137e-011, +1.79271600794e-001, +7.45997710840e+005, -7.98364558542e+001
-1.51515151515e-001, +2.19479664747e-011, +1.86836649768e-001, +7.12811972142e+005, -7.94170654901e+001
-1.31313131313e-001, +2.28904286092e-011, +1.95212655749e-001, +6.82409308163e+005, -7.89540535241e+001
-1.11111111111e-001, +2.40695811872e-011, +2.01600491008e-001, +6.48187669159e+005, -7.86019203223e+001
-9.09090909091e-002, +2.51503227580e-011, +2.11210886746e-001, +6.19155123855e+005, -7.80737887594e+001
-7.07070707071e-002, +2.67279915096e-011, +2.25528260565e-001, +5.80872420827e+005, -7.72908111071e+001
-5.05050505051e-002, +2.85145377312e-011, +2.37639657176e-001, +5.43031066406e+005, -7.66322072764e+001
-3.03030303030e-002, +3.01675681127e-011, +2.48581077306e-001, +5.11988247903e+005, -7.60402980710e+001
-1.01010101010e-002, +3.25069934094e-011, +2.68309451529e-001, +4.72876758293e+005, -7.49807431159e+001
+1.01010101010e-002, +3.49047600905e-011, +2.91208461098e-001, +4.37784279245e+005, -7.37639932614e+001
+3.03030303030e-002, +3.72855574704e-011, +3.13016550724e-001, +4.07363771231e+005, -7.26190162658e+001
+5.05050505051e-002, +3.99951239540e-011, +3.35278558238e-001, +3.77294355739e+005, -7.14648019221e+001
+7.07070707071e-002, +4.25201384759e-011, +3.61965684091e-001, +3.51957708143e+005, -7.01014823760e+001
+9.09090909091e-002, +4.46918725903e-011, +3.81643666233e-001, +3.32709530979e+005, -6.91109617815e+001
+1.11111111111e-001, +4.69469105778e-011, +4.06353142916e-001, +3.14070574412e+005, -6.78854793446e+001
+1.31313131313e-001, +4.84179008267e-011, +4.18935085226e-001, +3.03180760586e+005, -6.72694799479e+001
+1.51515151515e-001, +4.99020515667e-011, +4.41145091525e-001, +2.91802387764e+005, -6.61955614652e+001
+1.71717171717e-001, +5.08165262203e-011, +4.49410701574e-001, +2.85672442282e+005, -6.58003393037e+001
+1.91919191919e-001, +5.15876121748e-011, +4.60633674455e-001, +2.80214459917e+005, -6.52676109279e+001
+2.12121212121e-001, +5.16512887646e-011, +4.65395710606e-001, +2.79361325673e+005, -6.50429334273e+001
+2.32323232323e-001, +5.16518761194e-011, +4.61640812393e-001, +2.79758659682e+005, -6.52200251708e+001
+2.52525252525e-001, +5.11831437551e-011, +4.55626928578e-001, +2.82964764613e+005, -6.55047125053e+001
+2.72727272727e-001, +5.05326829053e-011, +4.49565321341e-001, +2.87260462017e+005, -6.57929692795e+001
+2.92929292929e-001, +4.91959621771e-011, +4.38812154133e-001, +2.96245159145e+005, -6.63075500336e+001
+3.13131313131e-001, +4.79532144848e-011, +4.19482336896e-001, +3.06058981816e+005, -6.72428113656e+001
+3.33333333333e-001, +4.66641702480e-011, +4.02871095984e-001, +3.16356315135e+005, -6.80569192666e+001
+3.53535353535e-001, +4.49713609020e-011, +3.87094581334e-001, +3.30038782913e+005, -6.88388494517e+001
+3.73737373737e-001, +4.29960380315e-011, +3.68785526642e-001, +3.47297773528e+005, -6.97567556726e+001
+3.93939393939e-001, +4.12324139880e-011, +3.51828785195e-001, +3.64116236697e+005, -7.06166603590e+001
+4.14141414141e-001, +3.92877164738e-011, +3.32247335643e-001, +3.84437644583e+005, -7.16210701860e+001
+4.34343434343e-001, +3.75750067509e-011, +3.20894186092e-001, +4.03309645066e+005, -7.22088663073e+001
+4.54545454545e-001, +3.57151031660e-011, +3.00340621024e-001, +4.26790004670e+005, -7.32828527229e+001
+4.74747474747e-001, +3.40152210832e-011, +2.77947438638e-001, +4.50803852690e+005, -7.44668648829e+001
+4.94949494949e-001, +3.21476871786e-011, +2.65645443094e-001, +4.78479538105e+005, -7.51232238974e+001
+5.15151515152e-001, +3.07441131166e-011, +2.50594190137e-001, +5.02149356871e+005, -7.59317190502e+001
+5.35353535354e-001, +2.92736605205e-011, +2.34282569042e-001, +5.29346270013e+005, -7.68144095302e+001
+5.55555555556e-001, +2.79294258715e-011, +2.26976675815e-001, +5.55711881935e+005, -7.72118643367e+001
+5.75757575758e-001, +2.65486516493e-011, +2.11701797922e-001, +5.86485679323e+005, -7.80468654638e+001
+5.95959595960e-001, +2.56169724364e-011, +2.00676547457e-001, +6.09142734848e+005, -7.86527999627e+001
+6.16161616162e-001, +2.44514162608e-011, +1.91439883270e-001, +6.39293366385e+005, -7.91624292020e+001
+6.36363636364e-001, +2.34532366002e-011, +1.84603627933e-001, +6.67329913219e+005, -7.95407423150e+001
+6.56565656566e-001, +2.25752478956e-011, +1.80273345284e-001, +6.93813735592e+005, -7.97808569792e+001
+6.76767676768e-001, +2.17564362960e-011, +1.70277781160e-001, +7.21150386637e+005, -8.03364867499e+001
+6.96969696970e-001, +2.09044791833e-011, +1.60638862277e-001, +7.51706675335e+005, -8.08740362036e+001
+7.17171717172e-001, +2.02690117526e-011, +1.59649215697e-001, +7.75393744241e+005, -8.09293209333e+001
+7.37373737374e-001, +1.96027940432e-011, +1.53786614395e-001, +8.02465445852e+005, -8.12571702512e+001
+7.57575757576e-001, +1.89924726063e-011, +1.39113424491e-001, +8.29996798538e+005, -8.20802162108e+001
+7.77777777778e-001, +1.84607106425e-011, +1.40097465638e-001, +8.53789853019e+005, -8.20249126589e+001
+7.97979797980e-001, +1.79200480496e-011, +1.35951937673e-001, +8.80043388783e+005, -8.22579932307e+001
+8.18181818182e-001, +1.74758487366e-011, +1.33475225322e-001, +9.02708008798e+005, -8.23973689733e+001
+8.38383838384e-001, +1.69586473318e-011, +1.20671330213e-001, +9.31729227061e+005, -8.31193112405e+001
+8.58585858586e-001, +1.66013987736e-011, +1.22983659044e-001, +9.51515116969e+005, -8.29887622131e+001
+8.78787878788e-001, +1.62178495075e-011, +1.26985042762e-001, +9.73538776376e+005, -8.27630263365e+001
+8.98989898990e-001, +1.59614812985e-011, +1.23574133368e-001, +9.89591691485e+005, -8.29554369935e+001
+9.19191919192e-001, +1.55333178838e-011, +1.15621818729e-001, +1.01782290930e+006, -8.34046435214e+001
+9.39393939394e-001, +1.54207946335e-011, +1.14293335075e-001, +1.02540435682e+006, -8.34797672392e+001
+9.59595959596e-001, +1.52689130392e-011, +1.12073873188e-001, +1.03586106095e+006, -8.36053245338e+001
+9.79797979798e-001, +1.50768215443e-011, +1.18513345179e-001, +1.04829046323e+006, -8.32412111778e+001
+1.00000000000e+000, +1.53306569986e-011, +1.14996408748e-001, +1.03135123548e+006, -8.34400066774e+001
END
