»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.51.0
»»»  Vision Version:	5.51.3 (R)
»»»  Vision Compiled:	8/27/25
»»»  Driver Version:	5.51.0
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF20724-485 (500V)
»»»  Tester S/N:	PMF20724-485
»»»  Internal Amp Type:	500V Rev D Slow
»»»  Internal Amp S/N:	  iAB5-000/D   
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	3/12/2026 - 15:52:43
Configured:	03/09/26 06:20:57 PM
Executed:	03/12/26 03:51:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.14e-06
Sample Thickness (microns):	3.00e-02

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF20724-485 (500V)
Tester Serial Number:	PMF20724-485
Return Signal Amp. Level:	20.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	0.75
Field:	250.00 (kV/cm)
DCBias:	0.25
DCField:	83.33 (kV/cm)
Hysteresis Period (ms):	2.00e-01
Preset:	DisabledProfile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	401

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
  54	2.6500e-02	0.9512	19.803035	0.000028	8.854617	0.300003	-0.000831
  55	2.7000e-02	0.9369	19.663665	0.000029	9.333245	0.316219	-0.000876
  56	2.7500e-02	0.9248	19.259850	0.000085	27.042478	0.916224	-0.002537
  57	2.8000e-02	0.9074	19.480221	-0.000046	-14.757695	-0.500004	0.001385
  58	2.8500e-02	0.8896	19.327748	0.000032	10.210729	0.345949	-0.000958
  59	2.9000e-02	0.8788	19.253894	0.000016	4.945822	0.167569	-0.000464
  60	2.9500e-02	0.8634	19.088318	0.000035	11.088214	0.375679	-0.001040
  61	3.0000e-02	0.8510	18.950139	0.000029	9.253473	0.313516	-0.000868
  62	3.0500e-02	0.8315	18.761930	0.000040	12.603869	0.427031	-0.001183
  63	3.1000e-02	0.8180	18.677355	0.000018	5.663764	0.191894	-0.000531
  64	3.1500e-02	0.8025	18.510588	0.000035	11.167985	0.378382	-0.001048
  65	3.2000e-02	0.7917	18.368835	0.000030	9.492787	0.321624	-0.000891
  66	3.2500e-02	0.7726	18.225892	0.000030	9.572559	0.324327	-0.000898
  67	3.3000e-02	0.7604	18.057933	0.000035	11.247756	0.381084	-0.001055
  68	3.3500e-02	0.7404	17.892357	0.000035	11.088214	0.375679	-0.001040
  69	3.4000e-02	0.7306	17.750605	0.000030	9.492787	0.321624	-0.000891
  70	3.4500e-02	0.7129	17.512366	0.000050	15.954264	0.540545	-0.001497
  71	3.5000e-02	0.7022	17.446850	0.000014	4.387423	0.148650	-0.000412
  72	3.5500e-02	0.6838	17.107359	0.000071	22.734827	0.770277	-0.002133
  73	3.6000e-02	0.6655	17.085917	0.000005	1.435884	0.048649	-0.000135
  74	3.6500e-02	0.6533	16.850061	0.000050	15.794722	0.535140	-0.001482
  75	3.7000e-02	0.6400	16.614204	0.000050	15.794722	0.535140	-0.001482
  76	3.7500e-02	0.6289	16.454584	0.000034	10.689357	0.362165	-0.001003
  77	3.8000e-02	0.6087	16.210389	0.000051	16.353121	0.554059	-0.001534
  78	3.8500e-02	0.5955	16.007885	0.000043	13.561125	0.459463	-0.001272
  79	3.9000e-02	0.5788	15.786323	0.000047	14.837466	0.502707	-0.001392
  80	3.9500e-02	0.5620	15.579055	0.000044	13.880210	0.470274	-0.001302
  81	4.0000e-02	0.5428	15.347963	0.000049	15.475637	0.524329	-0.001452
  82	4.0500e-02	0.5322	15.040634	0.000065	20.581001	0.697303	-0.001931
  83	4.1000e-02	0.5183	14.796439	0.000051	16.353121	0.554059	-0.001534
  84	4.1500e-02	0.5029	14.515317	0.000059	18.826032	0.637843	-0.001766
  85	4.2000e-02	0.4865	14.291372	0.000047	14.997009	0.508112	-0.001407
  86	4.2500e-02	0.4725	13.931631	0.000076	24.090939	0.816223	-0.002260
  87	4.3000e-02	0.4576	13.505183	0.000090	28.558133	0.967576	-0.002679
  88	4.3500e-02	0.4436	13.280047	0.000047	15.076780	0.510815	-0.001415
  89	4.4000e-02	0.4280	12.809524	0.000099	31.509672	1.067577	-0.002956
  90	4.4500e-02	0.4121	12.551035	0.000054	17.310377	0.586491	-0.001624
  91	4.5000e-02	0.3965	12.081704	0.000099	31.429901	1.064874	-0.002949
  92	4.5500e-02	0.3845	11.627858	0.000095	30.392874	1.029738	-0.002852
  93	4.6000e-02	0.3696	11.176395	0.000095	30.233331	1.024333	-0.002837
  94	4.6500e-02	0.3528	10.622489	0.000117	37.093665	1.256767	-0.003480
  95	4.7000e-02	0.3384	10.086451	0.000113	35.897095	1.216227	-0.003368
  96	4.7500e-02	0.3226	9.490853	0.000125	39.885661	1.351363	-0.003742
  97	4.8000e-02	0.3043	8.869049	0.000131	41.640630	1.410823	-0.003907
  98	4.8500e-02	0.2965	8.073330	0.000167	53.287243	1.805421	-0.005000
  99	4.9000e-02	0.2770	7.349083	0.000152	48.500964	1.643257	-0.004550
 100	4.9500e-02	0.2583	6.789221	0.000118	37.492522	1.270281	-0.003518
 101	5.0000e-02	0.2473	5.209695	0.000332	105.776774	3.583814	-0.009924
 102	5.0500e-02	0.2340	4.556920	0.000137	43.714685	1.481094	-0.004101
 103	5.1000e-02	0.2182	3.474123	0.000228	72.512132	2.456778	-0.006803
 104	5.1500e-02	0.2053	2.517592	0.000201	64.056372	2.170289	-0.006010
 105	5.2000e-02	0.1916	1.400251	0.000235	74.825500	2.535157	-0.007020
 106	5.2500e-02	0.1736	0.323410	0.000227	72.113275	2.443264	-0.006766
 107	5.3000e-02	0.1591	-0.846345	0.000246	78.335439	2.654077	-0.007350
 108	5.3500e-02	0.1414	-2.057791	0.000255	81.127435	2.748672	-0.007612
 109	5.4000e-02	0.1284	-3.244222	0.000250	79.452237	2.691915	-0.007454
 110	5.4500e-02	0.1126	-4.561684	0.000277	88.227083	2.989214	-0.008278
 111	5.5000e-02	0.0997	-5.709997	0.000242	76.899555	2.605427	-0.007215
 112	5.5500e-02	0.0842	-6.892855	0.000249	79.212923	2.683806	-0.007432
 113	5.6000e-02	0.0686	-7.956593	0.000224	71.235791	2.413534	-0.006683
 114	5.6500e-02	0.0571	-8.821401	0.000182	57.913980	1.962179	-0.005434
 115	5.7000e-02	0.0420	-10.234159	0.000297	94.608788	3.205433	-0.008876
 116	5.7500e-02	0.0227	-10.923861	0.000145	46.187596	1.564878	-0.004333
 117	5.8000e-02	0.0097	-11.604034	0.000143	45.549425	1.543256	-0.004274
 118	5.8500e-02	-0.0070	-12.212735	0.000128	40.763146	1.381093	-0.003824
 119	5.9000e-02	-0.0214	-12.621315	0.000086	27.361564	0.927035	-0.002567
 120	5.9500e-02	-0.0327	-13.116853	0.000104	33.184870	1.124334	-0.003113
 121	6.0000e-02	-0.0502	-13.475403	0.000075	24.011168	0.813520	-0.002253
 122	6.0500e-02	-0.0690	-13.830379	0.000075	23.771854	0.805412	-0.002230
 123	6.1000e-02	-0.0815	-14.098398	0.000056	17.948548	0.608113	-0.001684
 124	6.1500e-02	-0.0950	-14.430742	0.000070	22.256199	0.754060	-0.002088
 125	6.2000e-02	-0.1128	-14.699952	0.000057	18.028319	0.610816	-0.001691
 126	6.2500e-02	-0.1276	-14.947721	0.000052	16.592435	0.562167	-0.001557
 127	6.3000e-02	-0.1418	-15.162136	0.000045	14.358838	0.486491	-0.001347
 128	6.3500e-02	-0.1551	-15.426582	0.000056	17.709234	0.600005	-0.001662
 129	6.4000e-02	-0.1711	-15.768455	0.000072	22.894370	0.775682	-0.002148
 130	6.4500e-02	-0.1856	-15.942369	0.000037	11.646613	0.394598	-0.001093
 131	6.5000e-02	-0.2013	-15.995973	0.000011	3.589710	0.121623	-0.000337
 132	6.5500e-02	-0.2143	-16.362862	0.000077	24.569567	0.832439	-0.002305
 133	6.6000e-02	-0.2277	-16.509379	0.000031	9.811873	0.332435	-0.000921
 134	6.6500e-02	-0.2433	-16.735706	0.000048	15.156551	0.513518	-0.001422
 135	6.7000e-02	-0.2549	-16.932253	0.000041	13.162268	0.445950	-0.001235
 136	6.7500e-02	-0.2757	-17.131183	0.000042	13.321811	0.451355	-0.001250
 137	6.8000e-02	-0.2886	-17.357510	0.000048	15.156551	0.513518	-0.001422
 138	6.8500e-02	-0.3045	-17.589793	0.000049	15.555408	0.527031	-0.001459
 139	6.9000e-02	-0.3188	-17.747031	0.000033	10.529815	0.356760	-0.000988
 140	6.9500e-02	-0.3323	-17.920946	0.000037	11.646613	0.394598	-0.001093
 141	7.0000e-02	-0.3471	-18.135361	0.000045	14.358838	0.486491	-0.001347
 142	7.0500e-02	-0.3659	-18.273540	0.000029	9.253473	0.313516	-0.000868
 143	7.1000e-02	-0.3779	-18.433160	0.000034	10.689357	0.362165	-0.001003
 144	7.1500e-02	-0.3992	-18.680929	0.000052	16.592435	0.562167	-0.001557
 145	7.2000e-02	-0.4095	-18.604692	-0.000016	-5.105365	-0.172974	0.000479
 146	7.2500e-02	-0.4270	-18.884623	0.000059	18.746261	0.635141	-0.001759
 147	7.3000e-02	-0.4399	-19.091891	0.000044	13.880210	0.470274	-0.001302
 148	7.3500e-02	-0.4564	-19.256276	0.000035	11.008442	0.372976	-0.001033
 149	7.4000e-02	-0.4725	-19.382543	0.000027	8.455760	0.286489	-0.000793
 150	7.4500e-02	-0.4861	-19.505236	0.000026	8.216446	0.278381	-0.000771
 151	7.5000e-02	-0.5003	-19.661283	0.000033	10.450043	0.354057	-0.000980
 152	7.5500e-02	-0.4830	-19.604105	0.000012	3.829023	0.129731	0.000359
 153	7.6000e-02	-0.4729	-19.540972	0.000013	4.227880	0.143244	0.000397
 154	7.6500e-02	-0.4603	-19.438529	0.000022	6.860334	0.232434	0.000644
 155	7.7000e-02	-0.4436	-19.373014	0.000014	4.387423	0.148650	0.000412
 156	7.7500e-02	-0.4256	-19.281291	0.000019	6.142392	0.208110	0.000576
 157	7.8000e-02	-0.4150	-19.191952	0.000019	5.982849	0.202704	0.000561
 158	7.8500e-02	-0.4007	-19.118098	0.000016	4.945822	0.167569	0.000464
 159	7.9000e-02	-0.3828	-18.940609	0.000037	11.885927	0.402706	0.001115
 160	7.9500e-02	-0.3678	-18.806004	0.000028	9.014159	0.305408	0.000846
 161	8.0000e-02	-0.3526	-18.632090	0.000037	11.646613	0.394598	0.001093
 162	8.0500e-02	-0.3336	-18.649958	-0.000004	-1.196570	-0.040541	-0.000112
 163	8.1000e-02	-0.3240	-18.517735	0.000028	8.854617	0.300003	0.000831
 164	8.1500e-02	-0.3080	-18.420057	0.000021	6.541248	0.221623	0.000614
 165	8.2000e-02	-0.2946	-18.309276	0.000023	7.418733	0.251353	0.000696
 166	8.2500e-02	-0.2806	-18.162759	0.000031	9.811873	0.332435	0.000921
 167	8.3000e-02	-0.2631	-18.012668	0.000032	10.051187	0.340543	0.000943
 168	8.3500e-02	-0.2441	-17.882828	0.000027	8.695074	0.294597	0.000816
 169	8.4000e-02	-0.2348	-17.733928	0.000031	9.971415	0.337841	0.000936
 170	8.4500e-02	-0.2184	-17.568352	0.000035	11.088214	0.375679	0.001040
 171	8.5000e-02	-0.2029	-17.407540	0.000034	10.769129	0.364868	0.001010
 172	8.5500e-02	-0.1864	-17.232435	0.000037	11.726384	0.397301	0.001100
 173	8.6000e-02	-0.1723	-17.043034	0.000040	12.683640	0.429733	0.001190
 174	8.6500e-02	-0.1575	-16.759530	0.000060	18.985575	0.643249	0.001781
 175	8.7000e-02	-0.1456	-16.639219	0.000025	8.056904	0.272975	0.000756
 176	8.7500e-02	-0.1268	-16.453393	0.000039	12.444326	0.421625	0.001168
 177	8.8000e-02	-0.1141	-16.267566	0.000039	12.444326	0.421625	0.001168
 178	8.8500e-02	-0.0963	-16.015032	0.000053	16.911520	0.572978	0.001587
 179	8.9000e-02	-0.0854	-15.819676	0.000041	13.082497	0.443247	0.001227
 180	8.9500e-02	-0.0679	-15.564760	0.000054	17.071063	0.578383	0.001602
 181	9.0000e-02	-0.0527	-15.330095	0.000049	15.714951	0.532437	0.001474
 182	9.0500e-02	-0.0411	-15.056120	0.000058	18.347404	0.621627	0.001721
 183	9.1000e-02	-0.0246	-14.857190	0.000042	13.321811	0.451355	0.001250
 184	9.1500e-02	-0.0044	-14.609421	0.000052	16.592435	0.562167	0.001557
 185	9.2000e-02	0.0057	-14.392624	0.000046	14.518381	0.491896	0.001362
 186	9.2500e-02	0.0190	-14.149620	0.000051	16.273350	0.551356	0.001527
 187	9.3000e-02	0.0361	-13.920910	0.000048	15.316094	0.518923	0.001437
 188	9.3500e-02	0.0517	-13.652891	0.000056	17.948548	0.608113	0.001684
 189	9.4000e-02	0.0647	-13.389637	0.000055	17.629462	0.597302	0.001654
 190	9.4500e-02	0.0813	-13.221678	0.000035	11.247756	0.381084	0.001055
 191	9.5000e-02	0.0967	-12.906011	0.000066	21.139400	0.716222	0.001983
 192	9.5500e-02	0.1126	-12.459313	0.000094	29.914246	1.013522	0.002807
 193	9.6000e-02	0.1260	-12.232986	0.000048	15.156551	0.513518	0.001422
 194	9.6500e-02	0.1413	-11.850612	0.000080	25.606594	0.867575	0.002402
 195	9.7000e-02	0.1557	-11.474194	0.000079	25.207738	0.854061	0.002365
 196	9.7500e-02	0.1687	-11.057275	0.000088	27.919963	0.945954	0.002619
 197	9.8000e-02	0.1855	-10.579606	0.000100	31.988300	1.083793	0.003001
 198	9.8500e-02	0.2007	-10.107892	0.000099	31.589444	1.070279	0.002964
 199	9.9000e-02	0.2149	-9.531353	0.000121	38.609320	1.308119	0.003622
 200	9.9500e-02	0.2302	-8.929800	0.000127	40.284518	1.364876	0.003780
 201	1.0000e-01	0.2468	-8.248436	0.000143	45.629196	1.545959	0.004281
 202	1.0050e-01	0.2589	-7.546821	0.000148	46.985309	1.591905	0.004408
 203	1.0100e-01	0.2767	-7.082255	0.000098	31.110816	1.054063	0.002919
 204	1.0150e-01	0.2939	-5.593260	0.000313	99.714153	3.378407	0.009355
 205	1.0200e-01	0.3049	-4.845189	0.000157	50.096390	1.697312	0.004700
 206	1.0250e-01	0.3175	-4.006587	0.000176	56.159011	1.902719	0.005269
 207	1.0300e-01	0.3344	-3.150117	0.000180	57.355581	1.943260	0.005381
 208	1.0350e-01	0.3519	-2.199543	0.000200	63.657515	2.156775	0.005972
 209	1.0400e-01	0.3654	-1.082201	0.000235	74.825500	2.535157	0.007020
 210	1.0450e-01	0.3794	0.002978	0.000228	72.671675	2.462183	0.006818
 211	1.0500e-01	0.3960	1.283514	0.000269	85.754172	2.905430	0.008046
 212	1.0550e-01	0.4111	2.442547	0.000244	77.617497	2.629752	0.007282
 213	1.0600e-01	0.4259	3.649228	0.000254	80.808350	2.737861	0.007582
 214	1.0650e-01	0.4408	4.872587	0.000257	81.925148	2.775699	0.007686
 215	1.0700e-01	0.4508	6.086415	0.000255	81.286978	2.754077	0.007626
 216	1.0750e-01	0.4713	7.151344	0.000224	71.315562	2.416237	0.006691
 217	1.0800e-01	0.4844	8.209126	0.000223	70.836934	2.400020	0.006646
 218	1.0850e-01	0.4979	9.390792	0.000249	79.133152	2.681104	0.007424
 219	1.0900e-01	0.5179	10.209144	0.000172	54.802899	1.856772	0.005142
 220	1.0950e-01	0.5318	10.890508	0.000143	45.629196	1.545959	0.004281
 221	1.1000e-01	0.5453	11.601652	0.000150	47.623479	1.613527	0.004468
 222	1.1050e-01	0.5589	12.176999	0.000121	38.529549	1.305416	0.003615
 223	1.1100e-01	0.5737	12.838113	0.000139	44.273084	1.500013	0.004154
 224	1.1150e-01	0.5879	13.318165	0.000101	32.147843	1.089198	0.003016
 225	1.1200e-01	0.6043	13.823232	0.000106	33.823041	1.145956	0.003173
 226	1.1250e-01	0.6185	14.229430	0.000085	27.202021	0.921629	0.002552
 227	1.1300e-01	0.6345	14.599892	0.000078	24.808881	0.840548	0.002328
 228	1.1350e-01	0.6491	14.956059	0.000075	23.851625	0.808115	0.002238
 229	1.1400e-01	0.6642	15.380125	0.000089	28.398591	0.962170	0.002664
 230	1.1450e-01	0.6815	15.664821	0.000060	19.065346	0.645951	0.001789
 231	1.1500e-01	0.6983	15.932840	0.000056	17.948548	0.608113	0.001684
 232	1.1550e-01	0.7095	16.287816	0.000075	23.771854	0.805412	0.002230
 233	1.1600e-01	0.7268	16.410509	0.000026	8.216446	0.278381	0.000771
 234	1.1650e-01	0.7392	16.791692	0.000080	25.526823	0.864872	0.002395
 235	1.1700e-01	0.7565	17.063285	0.000057	18.187862	0.616221	0.001706
 236	1.1750e-01	0.7678	17.238391	0.000037	11.726384	0.397301	0.001100
 237	1.1800e-01	0.7835	17.484968	0.000052	16.512664	0.559464	0.001549
 238	1.1850e-01	0.8012	17.669603	0.000039	12.364555	0.418922	0.001160
 239	1.1900e-01	0.8130	17.914990	0.000052	16.432892	0.556761	0.001542
 240	1.1950e-01	0.8285	18.071036	0.000033	10.450043	0.354057	0.000980
 241	1.2000e-01	0.8434	18.265201	0.000041	13.002726	0.440544	0.001220
 242	1.2050e-01	0.8596	18.474852	0.000044	14.039753	0.475680	0.001317
 243	1.2100e-01	0.8762	18.716665	0.000051	16.193578	0.548653	0.001519
 244	1.2150e-01	0.8891	18.853652	0.000029	9.173702	0.310813	0.000861
 245	1.2200e-01	0.9033	19.003743	0.000032	10.051187	0.340543	0.000943
 246	1.2250e-01	0.9199	19.193143	0.000040	12.683640	0.429733	0.001190
 247	1.2300e-01	0.9341	19.462353	0.000057	18.028319	0.610816	0.001691
 248	1.2350e-01	0.9524	19.510001	0.000010	3.190853	0.108109	0.000299
 249	1.2400e-01	0.9631	19.831624	0.000068	21.538257	0.729736	0.002021
 250	1.2450e-01	0.9805	19.897140	0.000014	4.387423	0.148650	0.000412
 251	1.2500e-01	0.9958	20.060334	0.000034	10.928671	0.370273	0.001025
 252	1.2550e-01	0.9850	19.943596	0.000025	7.817590	0.264867	-0.000733
 253	1.2600e-01	0.9681	19.895948	0.000010	3.190853	0.108109	-0.000299
 254	1.2650e-01	0.9530	19.693445	0.000043	13.561125	0.459463	-0.001272
 255	1.2700e-01	0.9359	19.629121	0.000014	4.307651	0.145947	-0.000404
 256	1.2750e-01	0.9250	19.531443	0.000021	6.541248	0.221623	-0.000614
 257	1.2800e-01	0.9076	19.400411	0.000028	8.774845	0.297300	-0.000823
 258	1.2850e-01	0.8932	19.233644	0.000035	11.167985	0.378382	-0.001048
 259	1.2900e-01	0.8771	19.108568	0.000026	8.375989	0.283786	-0.000786
 260	1.2950e-01	0.8617	18.998978	0.000023	7.338962	0.248651	-0.000689
 261	1.3000e-01	0.8469	18.871520	0.000027	8.535531	0.289192	-0.000801
 262	1.3050e-01	0.8337	18.670208	0.000042	13.481353	0.456761	-0.001265
 263	1.3100e-01	0.8157	18.451028	0.000046	14.677923	0.497302	-0.001377
 264	1.3150e-01	0.8034	18.278305	0.000036	11.566842	0.391895	-0.001085
 265	1.3200e-01	0.7876	18.323570	-0.000010	-3.031310	-0.102704	0.000284
 266	1.3250e-01	0.7732	18.154420	0.000036	11.327528	0.383787	-0.001063
 267	1.3300e-01	0.7559	17.975741	0.000038	11.965698	0.405409	-0.001123
 268	1.3350e-01	0.7397	17.797061	0.000038	11.965698	0.405409	-0.001123
 269	1.3400e-01	0.7278	17.643397	0.000032	10.290501	0.348652	-0.000965
 270	1.3450e-01	0.7171	17.486159	0.000033	10.529815	0.356760	-0.000988
 271	1.3500e-01	0.7013	17.339642	0.000031	9.811873	0.332435	-0.000921
 272	1.3550e-01	0.6821	17.147860	0.000040	12.843183	0.435139	-0.001205
 273	1.3600e-01	0.6715	16.946548	0.000042	13.481353	0.456761	-0.001265
 274	1.3650e-01	0.6525	16.763103	0.000039	12.284784	0.416220	-0.001153
 275	1.3700e-01	0.6372	16.572512	0.000040	12.763412	0.432436	-0.001197
 276	1.3750e-01	0.6210	16.352141	0.000046	14.757695	0.500004	-0.001385
 277	1.3800e-01	0.6077	16.241360	0.000023	7.418733	0.251353	-0.000696
 278	1.3850e-01	0.5954	15.737484	0.000106	33.743269	1.143253	-0.003166
 279	1.3900e-01	0.5821	15.688645	0.000010	3.270624	0.110812	-0.000307
 280	1.3950e-01	0.5622	15.517113	0.000036	11.487070	0.389192	-0.001078
 281	1.4000e-01	0.5463	15.203828	0.000066	20.979858	0.710817	-0.001968
 282	1.4050e-01	0.5316	15.003707	0.000042	13.401582	0.454058	-0.001257
 283	1.4100e-01	0.5143	14.748791	0.000054	17.071063	0.578383	-0.001602
 284	1.4150e-01	0.5040	14.443845	0.000064	20.421459	0.691898	-0.001916
