»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.51.0
»»»  Vision Version:	5.51.3 (R)
»»»  Vision Compiled:	8/27/25
»»»  Driver Version:	5.51.0
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF20724-485 (500V)
»»»  Tester S/N:	PMF20724-485
»»»  Internal Amp Type:	500V Rev D Slow
»»»  Internal Amp S/N:	  iAB5-000/D   
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	3/12/2026 - 12:49:55
Configured:	03/09/26 06:20:57 PM
Executed:	03/12/26 12:49:33 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.14e-06
Sample Thickness (microns):	8.00e-02

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF20724-485 (500V)
Tester Serial Number:	PMF20724-485
Return Signal Amp. Level:	100.0 [Index: 0]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	'
Volts:	0.75
Field:	93.75 (kV/cm)
DCBias:	0.25
DCField:	31.25 (kV/cm)
Hysteresis Period (ms):	2.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
  25	2.4000e-02	0.3178	-2.181187	0.000095	30.345607	2.741699	0.000311
  26	2.5000e-02	0.3230	-2.092191	0.000086	27.239364	2.461052	0.000280
  27	2.6000e-02	0.3266	-1.980555	0.000107	34.168676	3.087110	0.000351
  28	2.7000e-02	0.3275	-1.846801	0.000129	40.938693	3.698775	0.000420
  29	2.8000e-02	0.3311	-1.725537	0.000117	37.115625	3.353364	0.000381
  30	2.9000e-02	0.3355	-1.604013	0.000117	37.195272	3.360560	0.000382
  31	3.0000e-02	0.3385	-1.488734	0.000111	35.283737	3.187854	0.000362
  32	3.1000e-02	0.3396	-1.378660	0.000106	33.690792	3.043933	0.000346
  33	3.2000e-02	0.3417	-1.257656	0.000116	37.035977	3.346168	0.000380
  34	3.3000e-02	0.3487	-1.126504	0.000126	40.142220	3.626814	0.000412
  35	3.4000e-02	0.3516	-0.965686	0.000155	49.222008	4.447165	0.000505
  36	3.5000e-02	0.3526	-0.813456	0.000146	46.593649	4.209695	0.000478
  37	3.6000e-02	0.3568	-0.669813	0.000138	43.965289	3.972225	0.000451
  38	3.7000e-02	0.3600	-0.541523	0.000123	39.266101	3.547657	0.000403
  39	3.8000e-02	0.3617	-0.405167	0.000131	41.735166	3.770735	0.000428
  40	3.9000e-02	0.3619	-0.263085	0.000137	43.487406	3.929048	0.000446
  41	4.0000e-02	0.3672	-0.126728	0.000131	41.735166	3.770735	0.000428
  42	4.1000e-02	0.3709	0.042937	0.000163	51.930015	4.691831	0.000533
  43	4.2000e-02	0.3731	0.210780	0.000161	51.372485	4.641458	0.000527
  44	4.3000e-02	0.3743	0.368996	0.000152	48.425536	4.375204	0.000497
  45	4.4000e-02	0.3793	0.523828	0.000149	47.390121	4.281655	0.000486
  46	4.5000e-02	0.3805	0.666430	0.000137	43.646700	3.943441	0.000448
  47	4.6000e-02	0.3841	0.818400	0.000146	46.514002	4.202499	0.000477
  48	4.7000e-02	0.3864	0.966207	0.000142	45.239645	4.087362	0.000464
  49	4.8000e-02	0.3894	1.140556	0.000168	53.363666	4.821360	0.000548
  50	4.9000e-02	0.3948	1.326095	0.000178	56.788498	5.130790	0.000583
  51	5.0000e-02	0.3989	1.497061	0.000164	52.328252	4.727811	0.000537
  52	5.1000e-02	0.3980	1.661782	-0.000158	-50.416717	-4.555106	0.000517
  53	5.2000e-02	0.4034	1.819477	0.000152	48.266241	4.360812	0.000495
  54	5.3000e-02	0.4048	1.972748	0.000147	46.912238	4.238479	0.000482
  55	5.4000e-02	0.4082	2.125239	0.000147	46.673296	4.216891	0.000479
  56	5.5000e-02	0.4119	2.285276	0.000154	48.983067	4.425577	0.000503
  57	5.6000e-02	0.4173	2.469253	0.000177	56.310615	5.087614	0.000578
  58	5.7000e-02	0.4147	2.640480	-0.000165	-52.407899	-4.735007	0.000538
  59	5.8000e-02	0.4218	2.798175	0.000152	48.266241	4.360812	0.000495
  60	5.9000e-02	0.4234	2.950925	0.000147	46.752943	4.224087	0.000480
  61	6.0000e-02	0.4277	3.096130	0.000140	44.443173	4.015401	0.000456
  62	6.1000e-02	0.4300	3.241074	0.000139	44.363525	4.008205	0.000455
  63	6.2000e-02	0.4346	3.403193	0.000156	49.620245	4.483145	0.000509
  64	6.3000e-02	0.4361	3.564531	0.000155	49.381303	4.461557	0.000507
  65	6.4000e-02	0.4395	3.723266	0.000153	48.584830	4.389596	0.000499
  66	6.5000e-02	0.4401	3.886426	0.000157	49.938834	4.511929	0.000513
  67	6.6000e-02	0.4447	4.035794	0.000144	45.717529	4.130538	0.000469
  68	6.7000e-02	0.4495	4.177095	0.000136	43.248464	3.907460	0.000444
  69	6.8000e-02	0.4517	4.311630	0.000129	41.177635	3.720363	0.000423
  70	6.9000e-02	0.4511	4.448507	-0.000132	-41.894460	-3.785127	0.000430
  71	7.0000e-02	0.4555	4.593451	0.000139	44.363525	4.008205	0.000455
  72	7.1000e-02	0.4592	4.752187	0.000153	48.584830	4.389596	0.000499
  73	7.2000e-02	0.4616	4.896871	0.000139	44.283878	4.001009	0.000455
  74	7.3000e-02	0.4684	5.028804	0.000127	40.381162	3.648402	0.000414
  75	7.4000e-02	0.4691	5.160997	0.000127	40.460810	3.655598	0.000415
  76	7.5000e-02	0.4720	5.290588	0.000125	39.664337	3.583638	0.000407
  77	7.6000e-02	0.4780	5.419138	0.000124	39.345748	3.554853	0.000404
  78	7.7000e-02	0.4768	5.542223	-0.000118	-37.673155	-3.403736	0.000387
  79	7.8000e-02	0.4806	5.680662	0.000133	42.372344	3.828304	0.000435
  80	7.9000e-02	0.4832	5.814156	0.000128	40.859046	3.691579	0.000419
  81	8.0000e-02	0.4863	5.948951	0.000130	41.257282	3.727559	0.000423
  82	8.1000e-02	0.4935	6.068914	0.000115	36.717388	3.317383	0.000377
  83	8.2000e-02	0.4904	6.186274	-0.000113	-35.920916	-3.245423	0.000369
  84	8.3000e-02	0.4966	6.299992	0.000109	34.805854	3.144678	0.000357
  85	8.4000e-02	0.4995	6.407724	0.000104	32.973967	2.979169	0.000338
  86	8.5000e-02	0.4996	6.521962	0.000110	34.965148	3.159070	0.000359
  87	8.6000e-02	0.5023	6.650772	0.000124	39.425395	3.562049	0.000405
  88	8.7000e-02	0.5062	6.765010	0.000110	34.965148	3.159070	0.000359
  89	8.8000e-02	0.5105	6.867798	0.000099	31.460669	2.842444	0.000323
  90	8.9000e-02	0.5117	6.972928	0.000101	32.177494	2.907208	0.000330
  91	9.0000e-02	0.5184	7.079879	0.000103	32.735025	2.957580	0.000336
  92	9.1000e-02	0.5202	7.173299	0.000090	28.593367	2.583385	0.000293
  93	9.2000e-02	0.5212	7.276607	0.000099	31.619963	2.856836	0.000325
  94	9.3000e-02	0.5247	7.389024	0.000108	34.407618	3.108698	0.000353
  95	9.4000e-02	0.5322	7.493373	0.000100	31.938552	2.885620	0.000328
  96	9.5000e-02	0.5278	7.594600	-0.000097	-30.982785	-2.799267	0.000318
  97	9.6000e-02	0.5344	7.684897	0.000087	27.637600	2.497033	0.000284
  98	9.7000e-02	0.5353	7.770770	0.000083	26.283597	2.374700	0.000270
  99	9.8000e-02	0.5383	7.864451	0.000090	28.673015	2.590581	0.000294
 100	9.9000e-02	0.5406	7.950844	0.000083	26.442891	2.389092	0.000271
 101	1.0000e-01	0.5467	8.044264	0.000090	28.593367	2.583385	0.000293
 102	1.0100e-01	0.5524	8.141067	0.000093	29.628782	2.676934	0.000304
 103	1.0200e-01	0.5538	8.228242	0.000084	26.681833	2.410680	0.000274
 104	1.0300e-01	0.5534	8.306048	-0.000075	-23.814532	-2.151622	0.000244
 105	1.0400e-01	0.5582	8.386718	0.000078	24.690651	2.230778	0.000253
 106	1.0500e-01	0.5627	8.466085	0.000076	24.292415	2.194798	0.000249
 107	1.0600e-01	0.5626	8.539989	-0.000071	-22.619823	-2.043681	0.000232
 108	1.0700e-01	0.5645	8.622219	0.000079	25.168535	2.273955	0.000258
 109	1.0800e-01	0.5754	8.703148	0.000078	24.770299	2.237975	0.000254
 110	1.0900e-01	0.5750	8.778613	-0.000073	-23.097706	-2.086857	0.000237
 111	1.1000e-01	0.5793	8.856680	0.000075	23.894179	2.158818	0.000245
 112	1.1100e-01	0.5804	8.930843	0.000071	22.699470	2.050877	0.000233
 113	1.1200e-01	0.5833	9.002665	0.000069	21.982645	1.986112	0.000226
 114	1.1300e-01	0.5914	9.067981	0.000063	19.991463	1.806211	0.000205
 115	1.1400e-01	0.5869	9.145006	-0.000074	-23.575590	-2.130034	0.000242
 116	1.1500e-01	0.5928	9.218910	0.000071	22.619823	2.043681	0.000232
 117	1.1600e-01	0.5916	9.285006	-0.000064	-20.230405	-1.827799	0.000208
 118	1.1700e-01	0.5952	9.350843	0.000063	20.150758	1.820603	0.000207
 119	1.1800e-01	0.6013	9.414597	0.000061	19.513579	1.763035	0.000200
 120	1.1900e-01	0.6017	9.481474	0.000064	20.469347	1.849387	0.000210
 121	1.2000e-01	0.6077	9.542887	0.000059	18.796754	1.698270	0.000193
 122	1.2100e-01	0.6100	9.611586	0.000066	21.026877	1.899760	0.000216
 123	1.2200e-01	0.6112	9.680024	0.000066	20.947230	1.892564	0.000215
 124	1.2300e-01	0.6152	9.742218	0.000060	19.035696	1.719858	0.000195
 125	1.2400e-01	0.6162	9.802589	0.000058	18.478165	1.669486	0.000190
 126	1.2500e-01	0.6209	9.862180	0.000057	18.239223	1.647898	0.000187
 127	1.2600e-01	0.6250	9.916567	0.000052	16.646278	1.503976	0.000171
 128	1.2700e-01	0.6282	9.975898	0.000057	18.159576	1.640702	0.000186
 129	1.2800e-01	0.6303	10.034187	0.000056	17.840987	1.611917	0.000183
 130	1.2900e-01	0.6332	10.090656	0.000054	17.283456	1.561545	0.000177
 131	1.3000e-01	0.6340	10.154410	0.000061	19.513579	1.763035	0.000200
 132	1.3100e-01	0.6385	10.213481	0.000057	18.079929	1.633506	0.000186
 133	1.3200e-01	0.6425	10.265786	0.000050	16.009100	1.446408	0.000164
 134	1.3300e-01	0.6473	10.323035	0.000055	17.522398	1.583133	0.000180
 135	1.3400e-01	0.6480	10.378983	0.000054	17.124162	1.547153	0.000176
 136	1.3500e-01	0.6523	10.429726	0.000049	15.531216	1.403232	0.000159
 137	1.3600e-01	0.6557	10.483072	0.000051	16.327689	1.475192	0.000168
 138	1.3700e-01	0.6570	10.536678	0.000052	16.407336	1.482388	0.000168
 139	1.3800e-01	0.6591	10.586120	0.000048	15.132980	1.367251	0.000155
 140	1.3900e-01	0.6609	10.638685	0.000051	16.088747	1.453604	0.000165
 141	1.4000e-01	0.6643	10.688908	0.000048	15.371922	1.388839	0.000158
 142	1.4100e-01	0.6692	10.739131	0.000048	15.371922	1.388839	0.000158
 143	1.4200e-01	0.6716	10.784149	0.000043	13.778976	1.244918	0.000141
 144	1.4300e-01	0.6729	10.836194	0.000050	15.929453	1.439212	0.000163
 145	1.4400e-01	0.6843	10.883815	0.000046	14.575449	1.316879	0.000150
 146	1.4500e-01	0.6804	10.939242	-0.000053	-16.964867	-1.532761	0.000174
 147	1.4600e-01	0.6824	10.981658	0.000041	12.982504	1.172958	0.000133
 148	1.4700e-01	0.6863	11.031361	0.000048	15.212627	1.374447	0.000156
 149	1.4800e-01	0.6908	11.076379	0.000043	13.778976	1.244918	0.000141
 150	1.4900e-01	0.6930	11.123219	0.000045	14.336507	1.295291	0.000147
 151	1.5000e-01	0.6967	11.171621	0.000047	14.814391	1.338467	0.000152
 152	1.5100e-01	0.6951	11.215078	-0.000042	-13.301093	-1.201742	0.000137
 153	1.5200e-01	0.7033	11.265561	0.000049	15.451569	1.396036	0.000159
 154	1.5300e-01	0.7037	11.313182	0.000046	14.575449	1.316879	0.000150
 155	1.5400e-01	0.7076	11.356639	0.000042	13.301093	1.201742	0.000137
 156	1.5500e-01	0.7117	11.399576	0.000041	13.141798	1.187350	0.000135
 157	1.5600e-01	0.7132	11.439911	0.000039	12.345326	1.115389	0.000127
 158	1.5700e-01	0.7169	11.484929	0.000043	13.778976	1.244918	0.000141
 159	1.5800e-01	0.7201	11.530728	0.000044	14.017918	1.266506	0.000144
 160	1.5900e-01	0.7247	11.574446	0.000042	13.380740	1.208938	0.000137
 161	1.6000e-01	0.7268	11.617903	0.000042	13.301093	1.201742	0.000137
 162	1.6100e-01	0.7278	11.651732	0.000033	10.354144	0.935488	0.000106
 163	1.6200e-01	0.7333	11.699353	0.000046	14.575449	1.316879	0.000150
 164	1.6300e-01	0.7349	11.742810	0.000042	13.301093	1.201742	0.000137
 165	1.6400e-01	0.7392	11.785226	0.000041	12.982504	1.172958	0.000133
 166	1.6500e-01	0.7386	11.819315	-0.000033	-10.433791	-0.942684	0.000107
 167	1.6600e-01	0.7443	11.862252	0.000041	13.141798	1.187350	0.000135
 168	1.6700e-01	0.7490	11.903367	0.000040	12.584268	1.136977	0.000129
 169	1.6800e-01	0.7486	11.941360	-0.000037	-11.628500	-1.050625	0.000119
 170	1.6900e-01	0.7545	11.981954	0.000039	12.424973	1.122585	0.000128
 171	1.7000e-01	0.7577	12.017605	0.000034	10.911675	0.985860	0.000112
 172	1.7100e-01	0.7587	12.055077	0.000036	11.469206	1.036233	0.000118
 173	1.7200e-01	0.7604	12.092809	0.000036	11.548853	1.043429	0.000119
 174	1.7300e-01	0.7642	12.136787	0.000042	13.460387	1.216134	0.000138
 175	1.7400e-01	0.7686	12.174779	0.000037	11.628500	1.050625	0.000119
 176	1.7500e-01	0.7732	12.212251	0.000036	11.469206	1.036233	0.000118
 177	1.7600e-01	0.7741	12.250764	0.000037	11.787795	1.065017	0.000121
 178	1.7700e-01	0.7783	12.281991	0.000030	9.557672	0.863527	0.000098
 179	1.7800e-01	0.7826	12.320244	0.000037	11.708148	1.057821	0.000120
 180	1.7900e-01	0.7825	12.358757	-0.000037	-11.787795	-1.065017	0.000121
 181	1.8000e-01	0.7874	12.395448	0.000035	11.230264	1.014644	0.000115
 182	1.8100e-01	0.7902	12.430058	0.000033	10.593086	0.957076	0.000109
 183	1.8200e-01	0.7919	12.471433	0.000040	12.663915	1.144173	0.000130
 184	1.8300e-01	0.7989	12.508645	0.000036	11.389559	1.029037	0.000117
 185	1.8400e-01	0.7977	12.541173	-0.000031	-9.955908	-0.899507	0.000102
 186	1.8500e-01	0.7997	12.571619	0.000029	9.318730	0.841939	0.000096
 187	1.8600e-01	0.8029	12.609612	0.000037	11.628500	1.050625	0.000119
 188	1.8700e-01	0.8054	12.648125	0.000037	11.787795	1.065017	0.000121
 189	1.8800e-01	0.8090	12.684556	0.000035	11.150617	1.007448	0.000114
 190	1.8900e-01	0.8130	12.720727	0.000035	11.070970	1.000252	0.000114
 191	1.9000e-01	0.8192	12.757158	0.000035	11.150617	1.007448	0.000114
 192	1.9100e-01	0.8181	12.789946	-0.000032	-10.035555	-0.906703	0.000103
 193	1.9200e-01	0.8211	12.823515	0.000032	10.274497	0.928292	0.000105
 194	1.9300e-01	0.8256	12.861507	0.000037	11.628500	1.050625	0.000119
 195	1.9400e-01	0.8302	12.891953	0.000029	9.318730	0.841939	0.000096
 196	1.9500e-01	0.8334	12.927343	0.000034	10.832028	0.978664	0.000111
 197	1.9600e-01	0.8318	12.961953	-0.000033	-10.593086	-0.957076	0.000109
 198	1.9700e-01	0.8346	12.993700	0.000031	9.716966	0.877919	0.000100
 199	1.9800e-01	0.8393	13.026749	0.000032	10.115202	0.913900	0.000104
 200	1.9900e-01	0.8392	13.053551	-0.000026	-8.203668	-0.741194	0.000084
 201	2.0000e-01	0.8486	13.084778	0.000030	9.557672	0.863527	0.000098
 202	2.0100e-01	0.8493	13.114183	0.000028	9.000141	0.813155	0.000092
 203	2.0200e-01	0.8524	13.147492	0.000032	10.194850	0.921096	0.000105
 204	2.0300e-01	0.8546	13.185745	0.000037	11.708148	1.057821	0.000120
 205	2.0400e-01	0.8580	13.221655	0.000035	10.991322	0.993056	0.000113
 206	2.0500e-01	0.8646	13.252882	0.000030	9.557672	0.863527	0.000098
 207	2.0600e-01	0.8629	13.282808	-0.000029	-9.159435	-0.827547	0.000094
 208	2.0700e-01	0.8672	13.312473	0.000029	9.079788	0.820351	0.000093
 209	2.0800e-01	0.8676	13.344480	0.000031	9.796613	0.885115	0.000101
 210	2.0900e-01	0.8752	13.373886	0.000028	9.000141	0.813155	0.000092
 211	2.1000e-01	0.8755	13.410317	0.000035	11.150617	1.007448	0.000114
 212	2.1100e-01	0.8793	13.441023	0.000030	9.398377	0.849135	0.000096
 213	2.1200e-01	0.8820	13.470428	0.000028	9.000141	0.813155	0.000092
 214	2.1300e-01	0.8850	13.501395	0.000030	9.478024	0.856331	0.000097
 215	2.1400e-01	0.8895	13.530279	0.000028	8.840846	0.798763	0.000091
 216	2.1500e-01	0.8886	13.562547	-0.000031	-9.876261	-0.892311	0.000101
 217	2.1600e-01	0.8958	13.594815	0.000031	9.876261	0.892311	0.000101
 218	2.1700e-01	0.8984	13.628123	0.000032	10.194850	0.921096	0.000105
 219	2.1800e-01	0.8974	13.653625	-0.000025	-7.805432	-0.705214	0.000080
 220	2.1900e-01	0.9029	13.684852	0.000030	9.557672	0.863527	0.000098
 221	2.2000e-01	0.9019	13.716078	-0.000030	-9.557672	-0.863527	0.000098
 222	2.2100e-01	0.9084	13.740800	0.000024	7.566490	0.683626	0.000078
 223	2.2200e-01	0.9138	13.778532	0.000036	11.548853	1.043429	0.000119
 224	2.2300e-01	0.9169	13.806636	0.000027	8.601904	0.777174	0.000088
 225	2.2400e-01	0.9179	13.835260	0.000028	8.761199	0.791567	0.000090
 226	2.2500e-01	0.9200	13.868309	0.000032	10.115202	0.913900	0.000104
 227	2.2600e-01	0.9212	13.895632	0.000026	8.362963	0.755586	0.000086
 228	2.2700e-01	0.9277	13.927119	0.000030	9.637319	0.870723	0.000099
 229	2.2800e-01	0.9327	13.953662	0.000026	8.124021	0.733998	0.000083
 230	2.2900e-01	0.9344	13.979164	0.000025	7.805432	0.705214	0.000080
 231	2.3000e-01	0.9366	14.010651	0.000030	9.637319	0.870723	0.000099
 232	2.3100e-01	0.9426	14.037974	0.000026	8.362963	0.755586	0.000086
 233	2.3200e-01	0.9431	14.064517	0.000026	8.124021	0.733998	0.000083
 234	2.3300e-01	0.9445	14.097305	0.000032	10.035555	0.906703	0.000103
 235	2.3400e-01	0.9513	14.127491	0.000029	9.239082	0.834743	0.000095
 236	2.3500e-01	0.9502	14.151691	-0.000023	-7.407195	-0.669234	0.000076
 237	2.3600e-01	0.9570	14.181096	0.000028	9.000141	0.813155	0.000092
 238	2.3700e-01	0.9565	14.208420	-0.000026	-8.362963	-0.755586	0.000086
 239	2.3800e-01	0.9618	14.232621	0.000023	7.407195	0.669234	0.000076
 240	2.3900e-01	0.9631	14.256561	0.000023	7.327548	0.662037	0.000075
 241	2.4000e-01	0.9662	14.290130	0.000032	10.274497	0.928292	0.000105
 242	2.4100e-01	0.9727	14.325780	0.000034	10.911675	0.985860	0.000112
 243	2.4200e-01	0.9701	14.349461	-0.000023	-7.247901	-0.654841	0.000074
 244	2.4300e-01	0.9761	14.373401	0.000023	7.327548	0.662037	0.000075
 245	2.4400e-01	0.9777	14.396821	0.000023	7.168254	0.647645	0.000074
 246	2.4500e-01	0.9802	14.427788	0.000030	9.478024	0.856331	0.000097
 247	2.4600e-01	0.9818	14.460055	0.000031	9.876261	0.892311	0.000101
 248	2.4700e-01	0.9876	14.480092	0.000019	6.132839	0.554097	0.000063
 249	2.4800e-01	0.9884	14.513401	0.000032	10.194850	0.921096	0.000105
 250	2.4900e-01	0.9924	14.540724	0.000026	8.362963	0.755586	0.000086
 251	2.5000e-01	0.9957	14.564405	0.000023	7.247901	0.654841	0.000074
 252	2.5100e-01	0.9937	14.579758	-0.000015	-4.699189	-0.424568	0.000048
 253	2.5200e-01	0.9889	14.589126	-0.000009	-2.867301	-0.259058	0.000029
 254	2.5300e-01	0.9856	14.593810	-0.000005	-1.433651	-0.129529	0.000015
 255	2.5400e-01	0.9837	14.593029	0.000001	0.238942	0.021588	-0.000002
 256	2.5500e-01	0.9795	14.584702	0.000008	2.548712	0.230274	-0.000026
 257	2.5600e-01	0.9753	14.577416	0.000007	2.230123	0.201490	-0.000023
 258	2.5700e-01	0.9754	14.568048	-0.000009	-2.867301	-0.259058	-0.000029
 259	2.5800e-01	0.9715	14.548271	0.000019	6.053192	0.546901	-0.000062
 260	2.5900e-01	0.9712	14.533698	0.000014	4.460247	0.402979	-0.000046
 261	2.6000e-01	0.9703	14.524330	0.000009	2.867301	0.259058	-0.000029
 262	2.6100e-01	0.9663	14.511319	0.000013	3.982363	0.359803	-0.000041
 263	2.6200e-01	0.9585	14.496226	0.000015	4.619541	0.417371	-0.000047
 264	2.6300e-01	0.9589	14.484776	-0.000011	-3.504480	-0.316627	-0.000036
 265	2.6400e-01	0.9534	14.464999	0.000019	6.053192	0.546901	-0.000062
 266	2.6500e-01	0.9507	14.451988	0.000013	3.982363	0.359803	-0.000041
 267	2.6600e-01	0.9457	14.430130	0.000021	6.690370	0.604469	-0.000069
 268	2.6700e-01	0.9454	14.410873	0.000019	5.893897	0.532508	-0.000060
 269	2.6800e-01	0.9424	14.400204	0.000010	3.265538	0.295038	-0.000034
 270	2.6900e-01	0.9408	14.383290	0.000016	5.177072	0.467744	-0.000053
 271	2.7000e-01	0.9373	14.367416	0.000015	4.858483	0.438960	-0.000050
 272	2.7100e-01	0.9324	14.349981	0.000017	5.336367	0.482136	-0.000055
 273	2.7200e-01	0.9308	14.331765	0.000018	5.575308	0.503724	-0.000057
 274	2.7300e-01	0.9277	14.314591	0.000017	5.256719	0.474940	-0.000054
 275	2.7400e-01	0.9231	14.295074	0.000019	5.973545	0.539704	-0.000061
 276	2.7500e-01	0.9200	14.281282	0.000013	4.221305	0.381391	-0.000043
 277	2.7600e-01	0.9171	14.264368	0.000016	5.177072	0.467744	-0.000053
 278	2.7700e-01	0.9167	14.244331	0.000019	6.132839	0.554097	-0.000063
 279	2.7800e-01	0.9126	14.227937	0.000016	5.017778	0.453352	-0.000052
 280	2.7900e-01	0.9076	14.211543	0.000016	5.017778	0.453352	-0.000052
 281	2.8000e-01	0.9108	14.193067	-0.000018	-5.654956	-0.510920	-0.000058
 282	2.8100e-01	0.9016	14.173290	0.000019	6.053192	0.546901	-0.000062
 283	2.8200e-01	0.8993	14.155074	0.000018	5.575308	0.503724	-0.000057
 284	2.8300e-01	0.9002	14.136338	-0.000018	-5.734603	-0.518116	-0.000059
 285	2.8400e-01	0.8954	14.120465	0.000015	4.858483	0.438960	-0.000050
 286	2.8500e-01	0.8913	14.105892	0.000014	4.460247	0.402979	-0.000046
